date,open,high,low,close,volume
2017-11-06T10:41:00+05:30,923.08,923.62,923.08,923.52,9685
2017-11-06T10:42:00+05:30,923.52,924.56,923.52,924.46,14622
2017-11-06T10:43:00+05:30,924.51,924.75,924.46,924.75,10753
2017-11-06T10:44:00+05:30,924.75,924.8,924.11,924.11,10572
2017-11-06T10:45:00+05:30,924.16,924.51,924.11,924.26,7007
2017-11-06T10:46:00+05:30,924.16,924.61,924.16,924.26,6030
2017-11-06T10:47:00+05:30,924.36,924.56,924.26,924.31,3786
2017-11-06T10:48:00+05:30,924.36,924.71,924.31,924.61,10355
2017-11-06T10:49:00+05:30,924.61,924.71,924.61,924.61,3938
2017-11-06T10:50:00+05:30,924.61,924.8,924.26,924.26,7347
2017-11-06T10:51:00+05:30,924.41,924.41,923.42,924.01,15402
2017-11-06T10:52:00+05:30,924.01,924.61,923.52,923.67,15380
2017-11-06T10:53:00+05:30,923.72,924.61,923.52,924.31,14267
2017-11-06T10:54:00+05:30,924.36,924.46,923.52,923.57,12778
2017-11-06T10:55:00+05:30,923.57,924.36,923.57,923.67,6311
2017-11-06T10:56:00+05:30,923.72,924.11,923.67,923.77,4158
2017-11-06T10:57:00+05:30,923.67,923.96,923.62,923.92,3621
2017-11-06T10:58:00+05:30,923.96,924.51,923.62,924.46,10153
2017-11-06T10:59:00+05:30,924.26,924.41,923.62,924.11,14261
2017-11-06T11:00:00+05:30,924.36,924.41,923.77,923.87,6820
2017-11-06T11:01:00+05:30,923.82,924.36,923.77,924.31,4067
2017-11-06T11:02:00+05:30,924.36,924.36,924.31,924.31,1710
2017-11-06T11:03:00+05:30,924.31,924.36,923.72,923.77,4759
2017-11-06T11:04:00+05:30,923.77,924.01,923.77,923.87,3192
2017-11-06T11:05:00+05:30,924.01,924.11,923.77,923.87,5294
2017-11-06T11:06:00+05:30,923.92,924.06,923.67,923.92,5431
2017-11-06T11:07:00+05:30,923.92,924.06,923.87,923.96,4354
2017-11-06T11:08:00+05:30,923.96,924.01,923.96,924.01,2344
2017-11-06T11:09:00+05:30,924.01,924.26,923.82,924.06,6494
2017-11-06T11:10:00+05:30,923.96,924.11,923.92,924.06,5647
2017-11-06T11:11:00+05:30,924.06,924.36,923.96,924.01,7850
2017-11-06T11:12:00+05:30,924.01,924.41,924.01,924.36,11784
2017-11-06T11:13:00+05:30,924.36,924.61,924.36,924.61,15269
2017-11-06T11:14:00+05:30,924.61,924.75,924.51,924.71,9767
2017-11-06T11:15:00+05:30,924.75,925.1,924.71,925.1,13928
2017-11-06T11:16:00+05:30,925.05,925.5,925.0,925.05,10074
2017-11-06T11:17:00+05:30,925.0,925.59,925.0,925.45,10344
2017-11-06T11:18:00+05:30,925.35,925.5,925.35,925.45,4094
2017-11-06T11:19:00+05:30,925.45,925.5,925.35,925.4,5932
2017-11-06T11:20:00+05:30,925.35,925.79,925.35,925.45,17272
2017-11-06T11:21:00+05:30,925.45,925.79,925.4,925.5,3744
2017-11-06T11:22:00+05:30,925.5,926.09,925.45,925.69,9581
2017-11-06T11:23:00+05:30,925.54,925.54,924.95,925.1,10523
2017-11-06T11:24:00+05:30,925.0,925.1,924.8,924.8,6492
2017-11-06T11:25:00+05:30,924.8,925.0,924.26,924.36,7312
2017-11-06T11:26:00+05:30,924.31,925.05,924.31,925.0,6819
2017-11-06T11:27:00+05:30,925.0,925.25,924.85,925.1,9306
2017-11-06T11:28:00+05:30,925.1,925.35,925.1,925.35,4221
2017-11-06T11:29:00+05:30,925.35,925.45,925.3,925.35,2903
2017-11-06T11:30:00+05:30,925.35,925.35,925.0,925.0,10137
2017-11-06T11:31:00+05:30,925.0,925.0,924.85,924.95,2827
2017-11-06T11:32:00+05:30,924.95,924.95,924.61,924.75,3653
2017-11-06T11:33:00+05:30,924.75,924.75,924.66,924.71,4082
2017-11-06T11:34:00+05:30,924.71,924.71,924.66,924.66,2308
2017-11-06T11:35:00+05:30,924.71,924.71,924.61,924.71,2384
2017-11-06T11:36:00+05:30,924.61,924.71,924.61,924.66,2499
2017-11-06T11:37:00+05:30,924.66,924.8,924.61,924.66,3703
2017-11-06T11:38:00+05:30,924.66,924.8,924.61,924.8,4364
2017-11-06T11:39:00+05:30,924.75,924.8,924.75,924.75,2009
2017-11-06T11:40:00+05:30,924.75,924.8,924.75,924.8,1463
2017-11-06T11:41:00+05:30,924.8,925.0,924.75,925.0,3686
2017-11-06T11:42:00+05:30,925.0,925.1,924.9,925.0,4013
2017-11-06T11:43:00+05:30,925.0,925.0,924.71,924.71,3186
2017-11-06T11:44:00+05:30,924.71,924.8,924.71,924.75,1975
2017-11-06T11:45:00+05:30,924.75,925.0,924.71,924.71,2184
2017-11-06T11:46:00+05:30,924.75,924.75,924.71,924.75,3052
2017-11-06T11:47:00+05:30,924.75,924.8,924.71,924.75,3669
2017-11-06T11:48:00+05:30,924.8,924.8,924.75,924.8,4059
2017-11-06T11:49:00+05:30,924.8,924.8,924.61,924.66,4392
2017-11-06T11:50:00+05:30,924.66,924.66,924.51,924.51,3478
2017-11-06T11:51:00+05:30,924.41,924.51,924.41,924.46,2732
2017-11-06T11:52:00+05:30,924.51,924.51,924.31,924.31,3455
2017-11-06T11:53:00+05:30,924.41,924.71,924.36,924.71,4154
2017-11-06T11:54:00+05:30,924.71,924.71,924.36,924.56,5749
2017-11-06T11:55:00+05:30,924.51,924.8,924.51,924.71,4182
2017-11-06T11:56:00+05:30,924.75,924.75,924.51,924.51,6477
2017-11-06T11:57:00+05:30,924.51,924.56,923.92,924.06,18464
2017-11-06T11:58:00+05:30,923.92,924.11,923.92,924.01,2707
2017-11-06T11:59:00+05:30,924.01,924.06,923.67,923.72,3546
2017-11-06T12:00:00+05:30,923.72,923.77,923.67,923.67,2506
2017-11-06T12:01:00+05:30,923.72,923.82,923.37,923.37,9155
2017-11-06T12:02:00+05:30,923.32,923.32,922.83,923.17,18070
2017-11-06T12:03:00+05:30,922.88,923.52,922.88,923.32,6768
2017-11-06T12:04:00+05:30,923.22,923.42,923.22,923.42,3456
2017-11-06T12:05:00+05:30,923.42,923.42,923.22,923.22,8059
2017-11-06T12:06:00+05:30,923.22,923.27,923.22,923.22,2443
2017-11-06T12:07:00+05:30,923.22,923.32,923.22,923.27,7997
2017-11-06T12:08:00+05:30,923.27,923.32,923.03,923.03,12597
2017-11-06T12:09:00+05:30,923.08,923.13,923.08,923.08,4325
2017-11-06T12:10:00+05:30,923.13,923.13,922.98,922.98,3887
2017-11-06T12:11:00+05:30,923.03,923.08,922.88,923.03,3021
2017-11-06T12:12:00+05:30,923.03,923.13,922.93,923.03,9077
